,wine brand name,wine name,year,region,type,winery,price,rating,no. ratings
698,Vecchia Annata,Vecchia Annata 2010,2010,Gavi,0,Broglia,69.58,4.3,91
699,Saint-Péray Lieu-dit Payrolles,Saint-Péray Lieu-dit Payrolles 2017,2017,Saint-Péray,0,Anne-Sophie Pic et Michel Chapoutier,69.68,4.2,213
700,Chassagne-Montrachet 1er Cru 'Clos Saint-Jean',Chassagne-Montrachet 1er Cru 'Clos Saint-Jean' 2020,2020,Chassagne-Montrachet 1er Cru 'Chassagne du Clos Saint-Jean',0,Domaine Parigot,69.8,4.2,514
701,Chablis Grand Cru Bougros,Chablis Grand Cru Bougros 2019,2019,Chablis Grand Cru,0,Régnard,69.9,4.4,37
702,Romulus,Romulus 2020,2020,Montlouis-sur-Loire,0,La Taille Aux Loups,69.9,4.3,130
703,Chassagne-Montrachet Premier Cru Morgeot,Chassagne-Montrachet Premier Cru Morgeot 1982,1982,Chassagne-Montrachet Premier Cru,0,Bouchard Aîné & Fils,69.95,4.1,26
704,Bernkastel-Kueser Weisenstein Riesling Auslese,Bernkastel-Kueser Weisenstein Riesling Auslese 2003,2003,Mosel,0,Sybille Kuntz,69.98,4.3,51
705,Gewürztraminer Lunare,Gewürztraminer Lunare 2015,2015,Südtirol - Alto Adige,0,Terlan (Terlano),69.98,4.3,2744
706,Clos Mireille Blanc de Blancs,Clos Mireille Blanc de Blancs 2014,2014,Côtes de Provence,0,Domaines Ott,70.0,4.1,2462
707,Meursault Les Narvaux,Meursault Les Narvaux 2019,2019,Meursault,0,Chavy-Chouet,70.0,4.1,543
708,Chablis Grand Cru 'Les Clos',Chablis Grand Cru 'Les Clos' 2020,2020,Chablis Grand Cru 'Les Clos',0,Garnier et Fils,70.0,4.5,265
709,Chassagne-Montrachet 1er Cru 'Grandes Ruchottes',Chassagne-Montrachet 1er Cru 'Grandes Ruchottes' 2021,2021,Chassagne-Montrachet 1er Cru 'Les Grandes Ruchottes',0,Domaine Bachelet-Ramonet,70.0,4.1,215
710,Vin Jaune Arbois,Vin Jaune Arbois 2009,2009,Arbois,0,Domaine de la Pinte,70.0,4.1,364
711,Bordeaux Blanc,Bordeaux Blanc 2018,2018,Bordeaux,0,Château Monbousquet,70.0,4.1,334
712,Mâcon-Verzé 'Le Monte',Mâcon-Verzé 'Le Monte' 2021,2021,Mâcon-Verzé,0,Domaine Leflaive,70.0,4.1,41
713,Savigny-lès-Beaune 'Les Saucours',Savigny-lès-Beaune 'Les Saucours' 2018,2018,Savigny-lès-Beaune,0,Chandon de Briailles,70.0,4.0,36
714,Beaune Champs-Pimont 1er Cru Blanc,Beaune Champs-Pimont 1er Cru Blanc 2018,2018,Beaune Premier Cru,0,Domaine Jacques Prieur,70.0,4.1,537
715,Santenay Blanc,Santenay Blanc 2017,2017,Santenay,0,Les Héritiers Saint-Genys,70.08,4.0,228
716,Kaplja,Kaplja 2018,2018,Friuli-Venezia Giulia,0,Damijan Podversic,70.1,4.1,2426
717,Auksinis Sancerre,Auksinis Sancerre 2016,2016,Sancerre,0,Sébastien Riffault,70.15,4.1,1638
718,Puligny-Montrachet,Puligny-Montrachet 2021,2021,Puligny-Montrachet,0,Joseph Pascal,70.2,4.2,228
719,Saint-Romain Cuvée de la Mésange,Saint-Romain Cuvée de la Mésange 2020,2020,Saint-Romain,0,Domaine Ponsot,70.2,4.0,362
720,Chassagne-Montrachet,Chassagne-Montrachet 2021,2021,Chassagne-Montrachet,0,Domaine Coffinet-Duvernay,70.6,4.3,527
721,Châteauneuf-du-Pape Blanc,Châteauneuf-du-Pape Blanc 2022,2022,Châteauneuf-du-Pape,0,Domaine de Beaurenard,70.8,4.0,1082
722,Seligmacher,Seligmacher 2018,2018,Rheingau,0,Eva Fricke,70.98,4.2,285
723,Chablis 1er Cru 'Montee de Tonnerre',Chablis 1er Cru 'Montee de Tonnerre' 2015,2015,Chablis 1er Cru 'Montee de Tonnerre',0,Billaud-Simon,71.0,4.1,2404
724,Muenchberg A360P Pinot Gris,Muenchberg A360P Pinot Gris 2020,2020,Alsace Grand Cru 'Muenchberg',0,Domaine Ostertag,71.0,4.2,385
725,Steiner Kögl Reserve Riesling,Steiner Kögl Reserve Riesling 2019,2019,Kremstal,0,Salomon Undhof,71.08,4.1,173
726,Grand Fostó,Grand Fostó 2017,2017,Colli Tortonesi,0,Marina Coppi,71.48,4.3,64
727,Réserve della Contessa,Réserve della Contessa 2012,2012,Südtirol - Alto Adige,0,Manincor,71.5,4.0,3855
728,Arkezia Muffo di San Sisto,Arkezia Muffo di San Sisto 2016,2016,Marche,0,Fazi Battaglia,71.5,4.0,216
729,Cavallo Delle Fate Grillo,Cavallo Delle Fate Grillo 2012,2012,Sicilia,0,Tenuta Regaleali,71.5,3.8,3300
730,Riserva Nova Domus Terlaner,Riserva Nova Domus Terlaner 2018,2018,Südtirol - Alto Adige,0,Terlan (Terlano),71.5,4.3,5279
731,Prail Sauvignon,Prail Sauvignon 2014,2014,Südtirol - Alto Adige,0,Colterenzio (Schreckbichl),71.5,3.9,1658
732,Steiner Kögl Reserve Riesling,Steiner Kögl Reserve Riesling 2020,2020,Kremstal,0,Salomon Undhof,71.68,4.1,173
733,Chassagne-Montrachet Premier Cru,Chassagne-Montrachet Premier Cru 2003,2003,Chassagne-Montrachet Premier Cru,0,Louis Latour,71.82,4.1,1396
734,Telémaco Liguria di Levante,Telémaco Liguria di Levante 2015,2015,Ligurië,0,Azienda Agricola Campogrande,71.88,3.9,196
735,Beyond the Clouds,Beyond the Clouds 2021,2021,Südtirol - Alto Adige,0,Elena Walch,71.98,4.4,4771
736,III & VI,III & VI 2018,2018,Patagonia,0,Otronia,72.0,4.4,384
737,Muenchberg A360P Pinot Gris,Muenchberg A360P Pinot Gris 2018,2018,Alsace Grand Cru 'Muenchberg',0,Domaine Ostertag,72.0,4.2,385
738,Chablis Grand Cru 'Valmur',Chablis Grand Cru 'Valmur' 2020,2020,Chablis Grand Cru 'Valmur',0,Moreau-Naudet,72.0,4.3,523
739,La Roque Côtes Catalanes Blanc,La Roque Côtes Catalanes Blanc 2014,2014,Côtes Catalanes,0,Domaine Gauby,72.0,3.7,54
740,Clos de la Bergerie,Clos de la Bergerie 2015,2015,Savennières-Roche-aux-Moines,0,Nicolas Joly,72.0,4.1,2196
741,Un Faune Avec Son Fifre (Sous les Oliviers) Blanc,Un Faune Avec Son Fifre (Sous les Oliviers) Blanc 2017,2017,Côtes Catalanes,0,Domaine du Clos des Fées,72.0,4.0,44
742,Chassagne-Montrachet 1er Cru 'Les Vergers',Chassagne-Montrachet 1er Cru 'Les Vergers' 2020,2020,Chassagne-Montrachet 1er Cru 'Les Vergers',0,Amiot Guy,72.0,4.3,784
743,Sancerre Les Romains,Sancerre Les Romains 2018,2018,Sancerre,0,Domaine Vacheron,72.0,4.1,1967
744,Châteauneuf-du-Pape Blanc,Châteauneuf-du-Pape Blanc 2021,2021,Châteauneuf-du-Pape,0,Domaine Saint Préfert,72.0,4.1,593
745,Pouilly-Fuissé Vieilles Vignes,Pouilly-Fuissé Vieilles Vignes 2020,2020,Pouilly-Fuissé,0,Vessigaud,72.0,4.1,2091
746,Chablis Grand Cru 'Les Clos',Chablis Grand Cru 'Les Clos' 2019,2019,Chablis Grand Cru 'Les Clos',0,Domaine Christophe Camu,72.0,4.0,134
747,Pinot Gris Alsace Clos Windsbuhl,Pinot Gris Alsace Clos Windsbuhl 2013,2013,Elzas,0,Domaine Zind Humbrecht,72.0,4.2,1202
748,Tschaupp Chardonnay,Tschaupp Chardonnay 2016,2016,Südtirol - Alto Adige,0,Weingut Tenuta Schweitzer,72.38,4.0,332
749,Puligny-Montrachet 'Les Levrons',Puligny-Montrachet 'Les Levrons' 2021,2021,Puligny-Montrachet,0,Bitouzet-Prieur,72.5,4.2,451
750,Condrieu La Doriane,Condrieu La Doriane 2021,2021,Condrieu,0,E. Guigal,72.7,4.3,5187
751,Setzberg - Riesling Smaragd,Setzberg - Riesling Smaragd 2017,2017,Wachau,0,Franz Hirtzberger,72.98,4.2,574
752,Riesling Alsace Grand Cru 'Schlossberg',Riesling Alsace Grand Cru 'Schlossberg' 2017,2017,Alsace Grand Cru 'Schlossberg',0,Trimbach,73.0,4.1,253
753,Pittermannchen Spätlese,Pittermannchen Spätlese 2020,2020,Nahe,0,Diel,73.08,4.0,143
754,Jardin Suspendu Condrieu,Jardin Suspendu Condrieu 2019,2019,Condrieu,0,Pierre Jean Villa,73.2,4.3,696
755,Chassagne-Montrachet,Chassagne-Montrachet 2019,2019,Chassagne-Montrachet,0,Château de La Maltroye,73.2,4.2,3418
756,Meursault 1er Cru 'Blagny',Meursault 1er Cru 'Blagny' 2017,2017,Meursault 1er Cru 'Blagny',0,Vincent Girardin,73.2,4.2,82
757,Ante Etna Bianco,Ante Etna Bianco 2016,2016,De Etna,0,I Custodi,73.3,3.8,1083
758,Cuvée La Gerbotte Nuits-Saint-Georges Blanc,Cuvée La Gerbotte Nuits-Saint-Georges Blanc 2018,2018,Nuits-Saint-Georges,0,Domaine de l'Arlot,73.4,4.1,736
759,Il Punto,Il Punto 2019,2019,Umbrië,0,Cotarella,73.7,4.4,44
760,Sancerre Etienne Henri,Sancerre Etienne Henri 2018,2018,Sancerre,0,Henri Bourgeois,73.9,4.1,721
761,Vino del Passo,Vino del Passo 2020,2020,Trentino-Zuid-Tirol,0,Lieselehof,73.98,4.2,280
762,Comtes d'Eguisheim Gewürztraminer,Comtes d'Eguisheim Gewürztraminer 2009,2009,Elzas,0,Leon Beyer,73.98,4.1,514
763,Curie Climat,Curie Climat 2016,2016,Friuli Isonzo,0,Vie di Romans,73.98,4.4,39
764,Riesling Alsace Grand Cru 'Schlossberg',Riesling Alsace Grand Cru 'Schlossberg' 2015,2015,Alsace Grand Cru 'Schlossberg',0,Trimbach,74.0,4.1,253
765,Puligny-Montrachet,Puligny-Montrachet 2020,2020,Puligny-Montrachet,0,Domaine Philippe Pernot-Belicard,74.0,4.3,1043
766,Châteauneuf-du-Pape Blanc,Châteauneuf-du-Pape Blanc 2021,2021,Châteauneuf-du-Pape,0,Clos des Papes (Paul Avril),74.0,4.2,2201
767,Puligny-Montrachet La Corvée des Vignes,Puligny-Montrachet La Corvée des Vignes 2020,2020,Puligny-Montrachet,0,Domaine de la Vougeraie,74.0,4.3,33
768,Chablis Grand Cru 'Les Vaudésirs',Chablis Grand Cru 'Les Vaudésirs' 2018,2018,Chablis Grand Cru 'Vaudesir',0,Domaine Long Depaquit,74.1,4.2,768
769,Saint-Aubin 1er Cru 'En Remilly',Saint-Aubin 1er Cru 'En Remilly' 2020,2020,Saint-Aubin 1er Cru 'En Remilly',0,Bachelet-Monnot,74.1,4.3,374
770,Chablis Grand Cru 'Vaudésir',Chablis Grand Cru 'Vaudésir' 2021,2021,Chablis Grand Cru 'Vaudesir',0,Bernard Defaix,74.7,4.2,124
771,Chablis Grand Cru 'Bougros',Chablis Grand Cru 'Bougros' 2021,2021,Chablis Grand Cru 'Bougros',0,Bernard Defaix,74.7,4.2,493
772,Alsace Grand Cru Schoenenbourg,Alsace Grand Cru Schoenenbourg 2016,2016,Alsace Grand Cru,0,Marcel Deiss,74.7,4.3,1816
773,Coma Blanca Priorat,Coma Blanca Priorat 2016,2016,Priorat,0,Mas d'en Gil,74.9,4.1,681
